Listing Name,Price,Room Type,Reviews,Location
Large room in heart of Shoreditch,55,Private room,1 review,London
Central Waterloo Apartment,65,Private room,2 reviews,"Southwark, Greater London"
Cosy 1 person bed in South London,28,Private room,9 reviews,London
Smart and central Notting Hill flat,130,Entire home/flat,11 reviews,"Notting Hill, Greater London"
"London, Atmospheric Bloomsbury Flat",116,Entire home/flat,13 reviews,"St. Pancras, London"
TOP FLOOR FLAT WITH BALCONY ZONE 1,82,Entire home/flat,29 reviews,"Lambeth, London"
Historic Mezzanine w/ Travel Cot,78,Entire home/flat,84 reviews,"Bow, London"
Lovely Room with Private Bathroom!!,46,Private room,61 reviews,"LB of Islington, London"
"**Striking** 2bed, Holborn frm £140",140,Entire home/flat,31 reviews,"Bloomsbury, London"
En Suite Room in Modern Apartment!,65,Private room,67 reviews,"Shoreditch, Greater London"
FLAT Angel by Camden Zone 1 sleep 8,98,Entire home/flat,London,
Small bright room in Bethnal Green,45,Private room,33 reviews,"Bethnal Green, London"
Luxury Shoreditch One Bed Apartment,125,Entire home/flat,6 reviews,"Bethnal Green, London"
Cozy Big double room Notting hill,40,Private room,20 reviews,"Bayswater, London"
Heart of London 2014,58,Private room,58 reviews,"Southwark, London"
Lrg Dbl Room Close Central London,38,Private room,193 reviews,"City of Westminster, London"
S-King Rm Own Bath Near Big Ben!!,49,Private room,120 reviews,"Walworth, London"
Enjoy London for Less 14,24,Private room,London,
Enjoy London for Less 14,24,Private room,London,
Gorgeous 2 bed Garden Flat,150,Entire home/flat,London,
Bright clean single rm w/ balcony!,40,Private room,56 reviews,"Stockwell, London"
Historic Mezzanine w/ Travel Cot,78,Entire home/flat,84 reviews,"Bow, London"
"Bright 2Bed Apt, Maida Vale",98,Entire home/flat,3 reviews,London
Quiet & Modern dbl room + bathroom,55,Private room,71 reviews,"Bethnal Green, London"
Central Modern High-Spec En-suite,48,Entire home/flat,140 reviews,"Hammersmith, London"
Amazing riverside location +wifi,50,Private room,61 reviews,"Vauxhall, Greater London"
Loft & private bathroom in Dalston,60,Private room,2 reviews,London
Cosy double with large roof terrace,55,Private room,41 reviews,"Battersea, London"
London Bridge Penthouse and Terrace,175,Entire home/flat,5 reviews,"Southwark, London"
Lovely Room with Private Bathroom!!,46,Private room,61 reviews,"LB of Islington, London"
Lrg Dbl Room Close Central London,38,Private room,193 reviews,"City of Westminster, London"
London Bridge - one bedroom flat,120,Entire home/flat,68 reviews,"Southwark, London"
Shoreditch Private Dbl Room/Full BR,86,Private room,10 reviews,London
Marble Arch - Fantastic 1 bedroom,150,Entire home/flat,57 reviews,"City of Westminster, London"
"**Striking** 2bed, Holborn frm £140",140,Entire home/flat,31 reviews,"Bloomsbury, London"
West Kensington/Barons Court zone 2,43,Private room,21 reviews,"Hammersmith, London"
Bright Ensuite room Notting Hill,48,Private room,24 reviews,"Notting Hill, London"
VALUE ROOM CENTRAL LONDON ZONE 1,35,Private room,5 reviews,"Southwark, Kipling Estate"
1BD in perfect East London location,90,Entire home/flat,12 reviews,"Bethnal Green, Greater London"
Unique Spacious London Loft,100,Entire home/flat,30 reviews,"Kennington, London"
cute stylish flat near Notting Hill,48,Private room,23 reviews,"Shepherd's Bush, London"
Shoreditch Private Dbl Room/Full BR,86,Private room,10 reviews,London
Modern 2 bedroom Notting Hill flat,185,Entire home/flat,23 reviews,"Bayswater, London"
"Heart of Covent Garden,  London",140,Entire home/flat,105 reviews,"Covent Garden, London"
West Kensington/Barons Court zone 2,43,Private room,21 reviews,"Hammersmith, London"
Gorgeous 2 bed Garden Flat,150,Entire home/flat,London,
Amazing riverside location +wifi,50,Private room,61 reviews,"Vauxhall, Greater London"
London Bridge Penthouse and Terrace,175,Entire home/flat,5 reviews,"Southwark, London"
"Bright 2Bed Apt, Maida Vale",98,Entire home/flat,3 reviews,London
Loft & private bathroom in Dalston,60,Private room,2 reviews,London
Stunning penthouse apartment,85,Entire home/flat,2 reviews,Teddington
"Bayswater,W2-Modern one bedroom",99,Entire home/flat,5 reviews,"Bayswater, London"
Heart of London 2014,58,Private room,58 reviews,"Southwark, London"
Central Modern High-Spec En-suite,48,Entire home/flat,140 reviews,"Hammersmith, London"
Heart of London 2014,58,Private room,58 reviews,"Southwark, London"
1  single room at £35 per night,35,Private room,17 reviews,"LB of Brent, London"
Comfortable and Quiet Cosy Room,22,Private room,15 reviews,"LB of Haringey, London"
Studio in the heart of Soho,120,Entire home/flat,11 reviews,London
